Date : 2023-12-07 16:08:43
Directory : /Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting
Total : 261 files,  11259 codes, 621 comments, 1548 blanks, all 13428 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Swift    |         91 |      7,736 |        620 |      1,378 |      9,734 |
| JSON     |        169 |      3,488 |          0 |        169 |      3,657 |
| XML      |          1 |         35 |          1 |          1 |         37 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                     |        261 |     11,259 |        621 |      1,548 |     13,428 |
| HorseAccounting                                                                                                                                                       |        261 |     11,259 |        621 |      1,548 |     13,428 |
| HorseAccounting (Files)                                                                                                                                               |          1 |         35 |          1 |          1 |         37 |
| HorseAccounting/App                                                                                                                                                   |         29 |      3,182 |        166 |        506 |      3,854 |
| HorseAccounting/App (Files)                                                                                                                                           |          3 |      1,992 |         53 |        275 |      2,320 |
| HorseAccounting/App/BookTab                                                                                                                                           |          4 |        214 |         21 |         58 |        293 |
| HorseAccounting/App/BookTab (Files)                                                                                                                                   |          2 |        110 |          8 |         30 |        148 |
| HorseAccounting/App/BookTab/Component                                                                                                                                 |          2 |        104 |         13 |         28 |        145 |
| HorseAccounting/App/MeTab                                                                                                                                             |          6 |        184 |         21 |         43 |        248 |
| HorseAccounting/App/MeTab (Files)                                                                                                                                     |          1 |         40 |          2 |          7 |         49 |
| HorseAccounting/App/MeTab/Settings                                                                                                                                    |          5 |        144 |         19 |         36 |        199 |
| HorseAccounting/App/ReportTab                                                                                                                                         |         12 |        589 |         61 |         94 |        744 |
| HorseAccounting/App/ReportTab (Files)                                                                                                                                 |          1 |        110 |          3 |         11 |        124 |
| HorseAccounting/App/ReportTab/Focus                                                                                                                                   |          4 |        325 |         49 |         52 |        426 |
| HorseAccounting/App/ReportTab/Focus (Files)                                                                                                                           |          1 |         46 |         15 |          8 |         69 |
| HorseAccounting/App/ReportTab/Focus/FocusChart                                                                                                                        |          1 |        112 |          7 |         15 |        134 |
| HorseAccounting/App/ReportTab/Focus/FocusPie                                                                                                                          |          2 |        167 |         27 |         29 |        223 |
| HorseAccounting/App/ReportTab/Report                                                                                                                                  |          7 |        154 |          9 |         31 |        194 |
| HorseAccounting/App/ReportTab/Report/Report                                                                                                                           |          3 |         89 |          2 |         13 |        104 |
| HorseAccounting/App/ReportTab/Report/Story                                                                                                                            |          4 |         65 |          7 |         18 |         90 |
| HorseAccounting/App/StoryTab                                                                                                                                          |          2 |         98 |          3 |         19 |        120 |
| HorseAccounting/App/StoryTab (Files)                                                                                                                                  |          1 |         80 |          3 |         15 |         98 |
| HorseAccounting/App/StoryTab/Component                                                                                                                                |          1 |         18 |          0 |          4 |         22 |
| HorseAccounting/App/TopViews                                                                                                                                          |          2 |        105 |          7 |         17 |        129 |
